"Cursus","Cursusnaam","Collegejaar","Medewerker"
"201300322","S1: Social Sciences: Psychology","2015","M7641107"
"201300322","S1: Social Sciences: Psychology","2015","M7647383"
"201300322","S1: Social Sciences: Psychology","2015","M7648843"
"201300322","S1: Social Sciences: Psychology","2015","M7681343"
"201300322","S1: Social Sciences: Psychology","2015","M7693885"
"201300058","Research Topics BIT","2015","M7641134"
"201300058","Research Topics BIT","2015","M7641971"
"201300058","Research Topics BIT","2015","M7641985"
"201300058","Research Topics BIT","2015","M7643247"
"201300058","Research Topics BIT","2015","M7682358"
"201300058","Research Topics BIT","2015","M7682958"
"201300058","Research Topics BIT","2015","M7685226"
"201300058","Research Topics BIT","2015","M7685576"
"201300059","Stage BIT","2015","M7641953"
"201300059","Stage BIT","2015","M7641971"
"201300059","Stage BIT","2015","M7643247"
"201300059","Stage BIT","2015","M7681336"
"201300059","Stage BIT","2015","M7682358"
"201300059","Stage BIT","2015","M7682958"
"201300059","Stage BIT","2015","M7690234"
"201300060","Mathematical Finance","2015","M7647473"
"201300060","Mathematical Finance","2015","M7687636"
"201300061","Praktische opdr. Financial Engineering","2015","M7646898"
"201300061","Praktische opdr. Financial Engineering","2015","M7647415"
"201300061","Praktische opdr. Financial Engineering","2015","M7647473"
"201300062","Structured Products","2015","M7647473"
"201300062","Structured Products","2015","M7687811"
"201300063","Research Meth and Descriptive Statistics","2015","M7640961"
"201300063","Research Meth and Descriptive Statistics","2015","M7641147"
"201300064","Inferential Statistics","2015","M7640961"
"201300064","Inferential Statistics","2015","M7641147"
"201300065","Communication Research and Design","2015","M7642902"
"201300065","Communication Research and Design","2015","M7687383"
"201300066","Research Project Pre-master CS","2015","M7648006"
"201300067","Chemie","2015","M7640400"
"201300067","Chemie","2015","M7641041"
"201300067","Chemie","2015","M7641171"
"201300067","Chemie","2015","M7641928"
"201300067","Chemie","2015","M7642731"
"201300067","Chemie","2015","M7660253"
"201300067","Chemie","2015","M7686943"
"201300067","Chemie","2015","M7694757"
